,Customer_Name,Celebrity_des,Image
87,Nassar,"Sorry, but the page you are trying to view does not exist.Please refine your celebrity-search above or go back home.",NONE
88,Naseeruddin Shah,"Naseeruddin Shah is an Indian film and stage actor and director, and a prominent figure in Indian parallel cinema who won numerous awards in his career, including three National Film Awards, three Filmfare Awards and an award at the Venice Film Festival.He was born on Wednesday July 20th 1949, in Barabanki, Uttar Pradesh, India.eval(ez_write_tag([[728,90],'celebrities_galore_com-box-3','ezslot_4',162,'0','0']));Naseeruddin Shah has an impressive and aristocratic bearing. No matter how tall he is, Naseeruddin appears noble and upright. He is very much in control of the image he sends out to others.Many actors, dancers, and other performers have a 9 Personality number. Shah is elegant, graceful, and charismatic. Many admire him.Naseeruddin Shah has the kind of stature that pulls people to him or repels them intensely. Some are jealous of Naseeruddin and may seek to belittle him.Naseeruddin may encourage this to some extent by the amount of arrogance he radiates. This is a caution for all 9 Personalities - they are sometimes aloof and hold themselves above the world. Shah's challenge is to come down to earth with his fellow man.Conversely, Naseeruddin Shah has a great compassion for humanity and he wants to dedicate himself to improving the lot of others. He is better when dealing with the trials of the many than the trouble of a single person. Naseeruddin is more capable of working on the grand scale, addressing the needs of society, than on a one-to-one basis.Shah is kind and sympathetic, helpful and compassionate. Behind the controlled and calm facade, he is sensitive, vulnerable and emotional.eval(ez_write_tag([[300,250],'celebrities_galore_com-medrectangle-4','ezslot_3',154,'0','0']));Naseeruddin Shah has excellent taste. There is a good deal of artistic talent in him that shows in his home environment and his clothing.Naseeruddin Shah tends to see himself as a guardian of society, a benevolent leader, guiding and directing his community toward a better world.Shah's Personality number often serves as a censoring device, both in terms of what Naseeruddin sends out, as well as what he allows to approach.It discriminates in the kinds of people and information Naseeruddin Shah lets enter his heart and mind.Read more about our numerological interpretation of Naseeruddin Shah's personality number . . .",https://www.celebrities-galore.com/celebrities-photos/naseeruddin-shah.jpg
89,Nandita Das,"Nandita Das is an Actress.She was born on Friday November 7th 1969, in Delhi, India,.eval(ez_write_tag([[728,90],'celebrities_galore_com-box-3','ezslot_4',162,'0','0']));Nandita Das is highly attractive. Many men with a 3 Personality are very handsome, and women are often strikingly beautiful.Nandita's vibration is full of life. Das is uplifting, inspiring, and charming. She is a fun person to be around. Her wit and sparkling personality make Nandita Das the life of a party. She is extroverted and optimistic. Nandita appreciates fine clothing and jewelry, and enjoys dressing up a bit. She likes glamour, and is sought after by the opposite sex.Das is a romantic. She falls in and out of love rather quickly. Nandita Das is affectionate and giving, but she must not let her charm be an incentive to play too much. Nandita should work at developing deep and lasting relationships. She has to avoid scattering her attention for popularity. Das can be flippant about commitments and may dramatize or exaggerate. Her wit can cause Nandita to rely too much on superficial, humorous conversation.Nandita Das has a distinct ""lucky streak"" that attracts many opportunities throughout her life. She also has a knack of promoting herself as well as inspiring others. When backed up by hard work and self-disciple, these qualities almost ensure Das' success.Das' Personality number often serves as a censoring device, both in terms of what Nandita sends out, as well as what she allows to approach.It discriminates in the kinds of people and information Nandita Das lets enter her heart and mind.eval(ez_write_tag([[300,250],'celebrities_galore_com-medrectangle-4','ezslot_3',154,'0','0']));Read more about our numerological interpretation of Nandita Das' personality number . . .",NONE
90,Nagarjuna Akkineni,"Nagarjuna Akkineni is a male celebrity.He was born on Saturday August 29th 1959, in Chenai, Madras, India,.eval(ez_write_tag([[728,90],'celebrities_galore_com-box-3','ezslot_4',162,'0','0']));Nagarjuna Akkineni appears strong and powerful. He has an impressive personality and can influence and even intimidate through sheer force. He has natural authority. Nag's competence and enthusiasm attract people with resources.Akkineni radiates confidence. People defer to him because they sense his sureness and effectiveness. Nagarjuna Akkineni also exudes a kind of controlled benevolence. People sense that he is generous, once he is convinced of the worthiness of the cause.It is important for Nag to dress well. Akkineni radiates a kind of raw power and able-ness, which needs to be refined and enhanced by his clothing. Nagarjuna Akkineni may even dress a bit flashy, but that will not harm him. Quality is among Nag's highest priorities, and should reflect in his clothing.Although most eights have a strong constitution, they can be prone to indigestion, ulcers, and heart disease due to their reckless eating and drinking habits and their propensity to be workaholics.His Achilles heel is Nag's capacity for an egocentric attitude. The negative side of his personality can cause Akkineni to be ruthless, greedy, and intensely lonely.Conversely, Nagarjuna Akkineni can be spontaneous and excited. He is essentially warm and jovial. In his heart of hearts, Nag wants everyone to be as excited and as happy as him. Those who are around Akkineni often sense this, and his coworkers and employees usually like him.eval(ez_write_tag([[300,250],'celebrities_galore_com-medrectangle-4','ezslot_3',154,'0','0']));Akkineni's Personality number often serves as a censoring device, both in terms of what Nag sends out, as well as what he allows to approach.It discriminates in the kinds of people and information Nagarjuna Akkineni lets enter his heart and mind.Read more about our numerological interpretation of Nagarjuna Akkineni's personality number . . .",NONE
91,Nana Patekar,"Nana Patekar is an Indian film actor and writer, philanthropist and filmmaker, mainly working in Hindi and Marathi cinema, who is the only actor ever to win Filmfare Award for Best Actor, Best Supporting Actor and Best Villain categories, and he was bestowed with the fourth highest civilian honour of India, the Pad.He was born on Monday January 1st 1951, in Murud-Janjira, Bombay State, India.eval(ez_write_tag([[728,90],'celebrities_galore_com-box-3','ezslot_4',162,'0','0']));Nana Patekar is highly attractive. Many men with a 3 Personality are very handsome, and women are often strikingly beautiful.Nana's vibration is full of life. Patekar is uplifting, inspiring, and charming. He is a fun person to be around. His wit and sparkling personality make Nana Patekar the life of a party. He is extroverted and optimistic. Nana appreciates fine clothing and jewelry, and enjoys dressing up a bit. He likes glamour, and is sought after by the opposite sex.Patekar is a romantic. He falls in and out of love rather quickly. Nana Patekar is affectionate and giving, but he must not let his charm be an incentive to play too much. Nana should work at developing deep and lasting relationships. He has to avoid scattering his attention for popularity. Patekar can be flippant about commitments and may dramatize or exaggerate. His wit can cause Nana to rely too much on superficial, humorous conversation.Nana Patekar has a distinct ""lucky streak"" that attracts many opportunities throughout his life. He also has a knack of promoting himself as well as inspiring others. When backed up by hard work and self-disciple, these qualities almost ensure Patekar's success.Patekar's Personality number often serves as a censoring device, both in terms of what Nana sends out, as well as what he allows to approach.It discriminates in the kinds of people and information Nana Patekar lets enter his heart and mind.eval(ez_write_tag([[300,250],'celebrities_galore_com-medrectangle-4','ezslot_3',154,'0','0']));Read more about our numerological interpretation of Nana Patekar's personality number . . .",https://www.celebrities-galore.com/celebrities-photos/nana-patekar.jpg
92,Nawazuddin Siddiqui,"Sorry, but the page you are trying to view does not exist.Please refine your celebrity-search above or go back home.",NONE
93,Nargis,"Sorry, but the page you are trying to view does not exist.Please refine your celebrity-search above or go back home.",NONE
94,Nirupa Roy,"Nirupa Roy was a female celebrity.She was born on Sunday January 4th 1931, in Valsad, Gujarat, India,.eval(ez_write_tag([[728,90],'celebrities_galore_com-box-3','ezslot_4',162,'0','0']));Nirupa Roy radiates with a dynamic and efficient energy. She appears controlled and capable. Nirupa values courage and effort in the face of difficulties and these qualities show. Others can sense that she will not be pushed around.Nirupa should dress in a dignified and correct manner, caring for the details of her appearance. While she may spend most of her time in staid business dress or suits, bright and cheerful colors work well for her. Roy is fashionable, but has her own style.Nirupa Roy's appearance suffers more than most people when she is overweight. Overweight directly contradicts the type of personality Nirupa is trying to project. Straight lines and square corners accent her good physique and enhance her appearance as a leader.Roy is recognized as a pioneer; she has her own ideas of how to do things. She is a risk-taker, original and highly creative.Nirupa Roy should be wary of appearing too aggressive or unreceptive. She can intimidate people if she does not soften her exterior somewhat. By doing this, Nirupa will attract less confident people who will be more willing to approach her with their thoughts and suggestions.Roy's Personality number often serves as a censoring device, both in terms of what Nirupa sends out, as well as what she allows to approach.eval(ez_write_tag([[300,250],'celebrities_galore_com-medrectangle-4','ezslot_3',154,'0','0']));It discriminates in the kinds of people and information Nirupa Roy lets enter her heart and mind.Read more about our numerological interpretation of Nirupa Roy's personality number . . .",NONE
95,Nutan,"Sorry, but the page you are trying to view does not exist.Please refine your celebrity-search above or go back home.",NONE
96,Neeraj Kabi,"Sorry, but the page you are trying to view does not exist.Please refine your celebrity-search above or go back home.",NONE
97,Navin Nischol,"Sorry, but the page you are trying to view does not exist.Please refine your celebrity-search above or go back home.",NONE
98,Nafisa Ali,"Sorry, but the page you are trying to view does not exist.Please refine your celebrity-search above or go back home.",NONE
99,Om Puri,"Om Puri was an Indian actor who appeared in Indian, British, American and Pakistani films, was awarded Padma Shri, the fourth highest civilian award of India (1990), and was made an honorary Officer of the Order of the British Empire (2004).He was born on Wednesday October 18th 1950, in Ambala, Punjab, India.eval(ez_write_tag([[728,90],'celebrities_galore_com-box-3','ezslot_4',162,'0','0']));Om Puri has worked hard to gain confidence and overcome, at least to some extend, an in-born shyness. As a child, and into his early twenties, nervous energy may have caused Om to bite his nails or express his nervousness in other ways.He is extremely sensitive and intuitive. Puri is vulnerable and he needs to be more careful than most people when he chooses friends. Om Puri seems an easy prey to predatory individuals. He will probably find himself the victim of a con man or con woman more than once in his life.In the eyes of most people, Om is perceived as gentle; a safe harbor. People are drawn to him because, among other reasons, he radiates warmth and he is unthreatening. Puri's dress is neat and clean. His clothing should be comfortable, soft, and flowing. Om should avoid plain and understated clothes, and make an effort to be a little more daring and exciting in his appearance. This will balance nicely with Om Puri's perceptive and open personality. The opposite sex is attracted to his gentle and attentive nature, yet senses the passion beneath his surface. Puri has sex appeal. Exercise is important to his appearance and to promote a level of strength he radiates.Om Puri is very patient and understanding, and a wonderful listener. He makes others feel important and loved. Om is sensitive and becomes tense in a disharmonious atmosphere. He has experienced quite a bit of negative criticism as a child, which made Puri shy growing up. Though he may be well past that shyness, a bit of the vulnerability has remained with Om Puri and is often sensed by others.Om is a peacemaker. Arguments leave him drained. People sense Om's desire for harmony, but he must avoid being the blank tablet for others' projections. People may underestimate his strength, but this is a mistake. Puri is strong. He bends, but does not break.Om Puri has a fine sense of beauty and excellent taste. There is a grace in his movements, reflecting his keen sense of harmony and refinement.eval(ez_write_tag([[300,250],'celebrities_galore_com-medrectangle-4','ezslot_3',154,'0','0']));Puri's Personality number often serves as a censoring device, both in terms of what Om sends out, as well as what he allows to approach.It discriminates in the kinds of people and information Om Puri lets enter his heart and mind.Read more about our numerological interpretation of Om Puri's personality number . . .",https://www.celebrities-galore.com/celebrities-photos/om-puri.jpg
100,Om Prakash,"Om Prakash was a female celebrity.She was born on Friday December 19th 1919, in Lahore, Punjab, British India,.eval(ez_write_tag([[728,90],'celebrities_galore_com-box-3','ezslot_4',162,'0','0']));Om Prakash radiates reliability and consistency. People trust Om and feel secure with her judgment. Prakash is seen as a cornerstone of a business and is relied upon to do her work efficiently and expertly. She has strength and respectability.Prakash tends to dress in a utilitarian manner, concerned mostly with convention, practicality, durability, and price. She presents herself as someone who values correctness, control, and precision. All of this stems from the fact that Om's most prized characteristic is her work. Om wants to be judged on the basis of her performance, rather than her appearance.Om Prakash is frugal and has learned to respect a dollar. She is concerned about the security of her future and those she loves. However, this may appear to others as a bit too austere. Prakash tends to wear earth colors and conventional attire. She could benefit by putting a little flair in her dress, wear more uplifting colors, and loosen her dress with less severe lines. If Om wears a brown suit, she better include a bright tie or some jewelry.Om Prakash is a family person. She loves the intimacy, consistency, and the security a family provides. Om is a good provider and protector. But family members may take her efforts for granted. Prakash is a true patriot. She loves her country and is an integral part of her community. Om Prakash's consistency and adherence to her well-laid plans usually pays off in a comfortable and secure future.Prakash's Personality number often serves as a censoring device, both in terms of what Om sends out, as well as what she allows to approach.It discriminates in the kinds of people and information Om Prakash lets enter her heart and mind.eval(ez_write_tag([[300,250],'celebrities_galore_com-medrectangle-4','ezslot_3',154,'0','0']));Read more about our numerological interpretation of Om Prakash's personality number . . .",NONE
101,Pankaj Tripathi,"Sorry, but the page you are trying to view does not exist.Please refine your celebrity-search above or go back home.",NONE
102,Pran,"Sorry, but the page you are trying to view does not exist.Please refine your celebrity-search above or go back home.",NONE
103,Paresh Rawal,"Paresh Rawal is a Bollywood Actor and Comedian.He was born on Tuesday May 30th 1950, in India,.eval(ez_write_tag([[728,90],'celebrities_galore_com-box-3','ezslot_4',162,'0','0']));Paresh Rawal radiates understanding and compassion. People sense his warmth and fairness. For this reason, Paresh attracts many people who are in need of comfort, including the disadvantaged. People tend to come to him to unload their burdens. Rawal inspires confidence.Paresh Rawal has a fine sense of justice. He does everything in his power to keep the harmony and is even willing to sacrifice his personal desires for the good of others.Paresh can take this too far, however, sometimes playing the role of the martyr. He has to guard against being taken advantage of. Rawal is not always a very good judge of character. He tends to see the best in others. He can also become too involved in the lives of others, to his own detriment. (This aspect can be balanced by other numbers in Paresh's chart.)Paresh Rawal is hospitable and domestic. He loves children and is a good parent. He is romantic, faithful and very protective.He is artistic. Paresh Rawal loves music, flowers and gardening. He is a natural interior designer, and has an excellent sense of color and taste.Paresh is more concerned with the content of his personality than his appearance, which causes him to be less conscious of the style of his clothes. He is more interested in comfort and the utility of clothing than the statement it makes.eval(ez_write_tag([[300,250],'celebrities_galore_com-medrectangle-4','ezslot_3',154,'0','0']));Six Personality Numbers are exceedingly generous. Paresh Rawal is not particularly logical when it comes to finances.He is very vulnerable to praise and criticism. He also tends to worry a lot, causing stomach problems.People see Paresh Rawal as a maternal or paternal figure. They want to relax in his presence and unburden themselves. Paresh is the safe port in the crowd.Rawal's Personality number often serves as a censoring device, both in terms of what Paresh sends out, as well as what he allows to approach.It discriminates in the kinds of people and information Paresh Rawal lets enter his heart and mind.Read more about our numerological interpretation of Paresh Rawal's personality number . . .",NONE
104,Priyanka Chopra,"eval(ez_write_tag([[728,90],'celebrities_galore_com-box-3','ezslot_4',162,'0','0']));“ In India, people love turmeric. They make turmeric milk, and sometimes I mix it with some cream or yogurt and turn it into a scrub. You'd be amazed at what it can take off your skin.”Priyanka Chopra is an Indian film actress and singer, and the winner of the Miss World pageant of 2000, who has become one of Bollywood's highest-paid actresses and one of the most popular and high-profile celebrities in India.She was born on Sunday July 18th 1982, in Jamshedpur, Bihar, India.Priyanka Chopra is highly attractive. Many men with a 3 Personality are very handsome, and women are often strikingly beautiful.Priyanka's vibration is full of life. Chopra is uplifting, inspiring, and charming. She is a fun person to be around. Her wit and sparkling personality make Priyanka Chopra the life of a party. She is extroverted and optimistic. Priyanka appreciates fine clothing and jewelry, and enjoys dressing up a bit. She likes glamour, and is sought after by the opposite sex.Chopra is a romantic. She falls in and out of love rather quickly. Priyanka Chopra is affectionate and giving, but she must not let her charm be an incentive to play too much. Priyanka should work at developing deep and lasting relationships. She has to avoid scattering her attention for popularity. Chopra can be flippant about commitments and may dramatize or exaggerate. Her wit can cause Priyanka to rely too much on superficial, humorous conversation.Priyanka Chopra has a distinct ""lucky streak"" that attracts many opportunities throughout her life. She also has a knack of promoting herself as well as inspiring others. When backed up by hard work and self-disciple, these qualities almost ensure Chopra's success.Chopra's Personality number often serves as a censoring device, both in terms of what Priyanka sends out, as well as what she allows to approach.eval(ez_write_tag([[300,250],'celebrities_galore_com-medrectangle-4','ezslot_3',154,'0','0']));It discriminates in the kinds of people and information Priyanka Chopra lets enter her heart and mind.Read more about our numerological interpretation of Priyanka Chopra's personality number . . .",https://www.celebrities-galore.com/celebrities-photos/priyanka-chopra.jpg
105,Prakash Raj,"Sorry, but the page you are trying to view does not exist.Please refine your celebrity-search above or go back home.",NONE
106,Prabhas,"Sorry, but the page you are trying to view does not exist.Please refine your celebrity-search above or go back home.",NONE
107,Pankaj Kapur,"Sorry, but the page you are trying to view does not exist.Please refine your celebrity-search above or go back home.",NONE
108,Prabhu Deva,"Sorry, but the page you are trying to view does not exist.Please refine your celebrity-search above or go back home.",NONE
109,Prem Chopra,"Sorry, but the page you are trying to view does not exist.Please refine your celebrity-search above or go back home.",NONE
110,Pooja Bhatt,"Pooja Bhatt is an Indian film actress, voice actress, model and film maker who is of predominately Gujarati descent and on her mother's side, she is of English, Scottish, Armenian, and Burmese ancestry.She was born on Thursday February 24th 1972, in Mumbai, Maharashtra, India.eval(ez_write_tag([[728,90],'celebrities_galore_com-box-3','ezslot_4',162,'0','0']));Pooja Bhatt radiates reliability and consistency. People trust Bhoot Bhatt and feel secure with her judgment. Bhatt is seen as a cornerstone of a business and is relied upon to do her work efficiently and expertly. She has strength and respectability.Bhatt tends to dress in a utilitarian manner, concerned mostly with convention, practicality, durability, and price. She presents herself as someone who values correctness, control, and precision. All of this stems from the fact that Bhoot Bhatt's most prized characteristic is her work. Bhoot Bhatt wants to be judged on the basis of her performance, rather than her appearance.Pooja Bhatt is frugal and has learned to respect a dollar. She is concerned about the security of her future and those she loves. However, this may appear to others as a bit too austere. Bhatt tends to wear earth colors and conventional attire. She could benefit by putting a little flair in her dress, wear more uplifting colors, and loosen her dress with less severe lines. If Bhoot Bhatt wears a brown suit, she better include a bright tie or some jewelry.Pooja Bhatt is a family person. She loves the intimacy, consistency, and the security a family provides. Bhoot Bhatt is a good provider and protector. But family members may take her efforts for granted. Bhatt is a true patriot. She loves her country and is an integral part of her community. Pooja Bhatt's consistency and adherence to her well-laid plans usually pays off in a comfortable and secure future.Bhatt's Personality number often serves as a censoring device, both in terms of what Bhoot Bhatt sends out, as well as what she allows to approach.It discriminates in the kinds of people and information Pooja Bhatt lets enter her heart and mind.eval(ez_write_tag([[300,250],'celebrities_galore_com-medrectangle-4','ezslot_3',154,'0','0']));Read more about our numerological interpretation of Pooja Bhatt's personality number . . .",https://www.celebrities-galore.com/celebrities-photos/pooja-bhatt.jpg
111,Pavan Malhotra,"Pavan Malhotra is a male celebrity.He was born on Sunday January 16th 1927, in Unknown.eval(ez_write_tag([[728,90],'celebrities_galore_com-box-3','ezslot_4',162,'0','0']));Pavan Malhotra radiates understanding and compassion. People sense his warmth and fairness. For this reason, Pavan attracts many people who are in need of comfort, including the disadvantaged. People tend to come to him to unload their burdens. Malhotra inspires confidence.Pavan Malhotra has a fine sense of justice. He does everything in his power to keep the harmony and is even willing to sacrifice his personal desires for the good of others.Pavan can take this too far, however, sometimes playing the role of the martyr. He has to guard against being taken advantage of. Malhotra is not always a very good judge of character. He tends to see the best in others. He can also become too involved in the lives of others, to his own detriment. (This aspect can be balanced by other numbers in Pavan's chart.)Pavan Malhotra is hospitable and domestic. He loves children and is a good parent. He is romantic, faithful and very protective.He is artistic. Pavan Malhotra loves music, flowers and gardening. He is a natural interior designer, and has an excellent sense of color and taste.Pavan is more concerned with the content of his personality than his appearance, which causes him to be less conscious of the style of his clothes. He is more interested in comfort and the utility of clothing than the statement it makes.eval(ez_write_tag([[300,250],'celebrities_galore_com-medrectangle-4','ezslot_3',154,'0','0']));Six Personality Numbers are exceedingly generous. Pavan Malhotra is not particularly logical when it comes to finances.He is very vulnerable to praise and criticism. He also tends to worry a lot, causing stomach problems.People see Pavan Malhotra as a maternal or paternal figure. They want to relax in his presence and unburden themselves. Pavan is the safe port in the crowd.Malhotra's Personality number often serves as a censoring device, both in terms of what Pavan sends out, as well as what he allows to approach.It discriminates in the kinds of people and information Pavan Malhotra lets enter his heart and mind.Read more about our numerological interpretation of Pavan Malhotra's personality number . . .",NONE
112,Piyush Mishra,"Sorry, but the page you are trying to view does not exist.Please refine your celebrity-search above or go back home.",NONE
113,Prashant Narayanan,"Sorry, but the page you are trying to view does not exist.Please refine your celebrity-search above or go back home.",NONE
114,Rahul Dev,"Sorry, but the page you are trying to view does not exist.Please refine your celebrity-search above or go back home.",NONE
115,Rahul Bose,"Rahul Bose is a male celebrity.He was born on Thursday July 27th 1967, in India,.eval(ez_write_tag([[728,90],'celebrities_galore_com-box-3','ezslot_4',162,'0','0']));Rahul Bose is a stimulating person. He brighten social gatherings with his fresh and original ideas. His conversation tends to be sprinkled with novelty and wit. Rahul has a quick tongue and charisma. He is probably an excellent salesman. There is a lot of nervous energy within him looking for an outlet.Bose loves his freedom and he sees this life as an ongoing adventure. He is upbeat and optimistic. This is infectious for those Rahul Bose meets. As a result, Rahul inspires others.He has a strong and attractive body, with good muscle tone. Rahul's movements are supple, graceful, and athletic.Bose's bane is that he loves to indulge his senses with food and drink and can easily gain weight. He has an appetite for anything that stimulates the senses - sex, food, alcohol, and drugs. Discipline is a necessity for him. The negative side of a 5 Personality Number can give rise to an addictive personality.Rahul Bose likes to dress fashionably and can get away with more colorful clothes. However, he should be aware of the value of quality and the power of modesty.He is a little irresponsible and quick in satisfying his sensual urges. Rahul is attractive and that, coupled with his innate ability to promote himself, makes it easy for him to satisfy his desire for new and exciting relationships.eval(ez_write_tag([[300,250],'celebrities_galore_com-medrectangle-4','ezslot_3',154,'0','0']));Bose has a kind of swashbuckling personality. People see him as the adventurer that he is. They expect the unexpected from him, and when they do not - Rahul often surprises them.Rahul Bose has a quick and eclectic mind. He attracts information from all directions, but he can be a bit superficial, skimming over the surface of a wide diversity of subjects. This may cause Rahul to be a bit of a dilettante. He can get away with it much of the time, but for his own success and happiness, Bose should try to ground knowledge and deepen his understanding.Rahul Bose's versatility and adaptability make him capable of getting the most out of virtually every opportunity in life. He decides quickly on a course of action and his timing is usually good. Rahul radiates with the potential for success, which attracts others who can further him along his path.Bose's Personality number often serves as a censoring device, both in terms of what Rahul sends out, as well as what he allows to approach.It discriminates in the kinds of people and information Rahul Bose lets enter his heart and mind.Read more about our numerological interpretation of Rahul Bose's personality number . . .",NONE
116,Rekha,View more information »,NONE
117,Ratna Pathak Shah,"Sorry, but the page you are trying to view does not exist.Please refine your celebrity-search above or go back home.",NONE
118,Rajendra Kumar,"Rajendra Kumar was a male celebrity.He was born on Saturday July 20th 1929, in Silakot, West Punjab, British India (now Punjab, P,.eval(ez_write_tag([[728,90],'celebrities_galore_com-box-3','ezslot_4',162,'0','0']));Rajendra Kumar seems mysterious and different. People see him as serious and studious. Rajendra is highly independent and self-sufficient. His acceptional intelligence and wisdom are quickly noticed, and people respect him. Kumar is not one to attract people on the basis of his warmth or compassion - though he may be loaded with both - but because of his obvious insight into life's mysteries.He is hard to get to know, and is often withdrawn. It is common for people to see Rajendra Kumar's focus turn inside of himself in the middle of a conversation. Rajendra has the makings of an intellectual and an aristocrat but he has to guard against arrogance and an attitude of ""I have got it all figured out"". There have been periods in Rajendra Kumar's life when he had little concern for his clothing or fashion, while at other times he is very aware of his clothing and uses it to make a specific impression. Rajendra appears dignified no matter how he dresses, but a well groomed seven with a touch of dash definitely has an advantage. Kumar's confidence increases when he knows he is well dressed.Rajendra Kumar is recognized as spiritual and religious, with his very own ideas regarding the purpose of life and the Creator. He is an inspired speaker, but only when discussing subjects that really interest him. Otherwise, Rajendra is not one for chatter. His love of knowledge and wisdom shows.Kumar's Personality number often serves as a censoring device, both in terms of what Rajendra sends out, as well as what he allows to approach.It discriminates in the kinds of people and information Rajendra Kumar lets enter his heart and mind.Read more about our numerological interpretation of Rajendra Kumar's personality number . . .eval(ez_write_tag([[300,250],'celebrities_galore_com-medrectangle-4','ezslot_3',154,'0','0']));",NONE
119,Rajat Kapoor,"Sorry, but the page you are trying to view does not exist.Please refine your celebrity-search above or go back home.",NONE
120,Ranbir Kapoor,"“ I'm not a birthday person. Maybe because I don't like to build expectations around that one day. You never know how it'll turn out to be.”Ranbir Kapoor is an Indian actor and philantropist who has become one of the most popular celebrities and one of the highest-paid actors in India, and is the recipient of several awards, including five Filmfare Awards.He was born on Tuesday September 28th 1982, in Mumbai, Maharashtra, India.Ranbir Kapoor seems mysterious and different. People see him as serious and studious. Ranbir is highly independent and self-sufficient. His acceptional intelligence and wisdom are quickly noticed, and people respect him. Kapoor is not one to attract people on the basis of his warmth or compassion - though he may be loaded with both - but because of his obvious insight into life's mysteries.He is hard to get to know, and is often withdrawn. It is common for people to see Ranbir Kapoor's focus turn inside of himself in the middle of a conversation. Ranbir has the makings of an intellectual and an aristocrat but he has to guard against arrogance and an attitude of ""I have got it all figured out"". There have been periods in Ranbir Kapoor's life when he had little concern for his clothing or fashion, while at other times he is very aware of his clothing and uses it to make a specific impression. Ranbir appears dignified no matter how he dresses, but a well groomed seven with a touch of dash definitely has an advantage. Kapoor's confidence increases when he knows he is well dressed.eval(ez_write_tag([[580,400],'celebrities_galore_com-medrectangle-3','ezslot_8',153,'0','0']));Ranbir Kapoor is recognized as spiritual and religious, with his very own ideas regarding the purpose of life and the Creator. He is an inspired speaker, but only when discussing subjects that really interest him. Otherwise, Ranbir is not one for chatter. His love of knowledge and wisdom shows.Kapoor's Personality number often serves as a censoring device, both in terms of what Ranbir sends out, as well as what he allows to approach.It discriminates in the kinds of people and information Ranbir Kapoor lets enter his heart and mind.eval(ez_write_tag([[250,250],'celebrities_galore_com-medrectangle-4','ezslot_0',154,'0','0']));eval(ez_write_tag([[250,250],'celebrities_galore_com-medrectangle-4','ezslot_1',154,'0','1']));Read more about our numerological interpretation of Ranbir Kapoor's personality number . . .",https://www.celebrities-galore.com/celebrities-photos/ranbir-kapoor.jpg
121,Raghuvir Yadav,"Sorry, but the page you are trying to view does not exist.Please refine your celebrity-search above or go back home.",NONE
122,Rajkummar Rao,"Sorry, but the page you are trying to view does not exist.Please refine your celebrity-search above or go back home.",NONE
123,Revathy,"Sorry, but the page you are trying to view does not exist.Please refine your celebrity-search above or go back home.",NONE
124,Raaj Kumar,"Raaj Kumar was a male celebrity.He was born on Friday October 8th 1926, in India,.eval(ez_write_tag([[728,90],'celebrities_galore_com-box-3','ezslot_4',162,'0','0']));Raaj Kumar seems mysterious and different. People see him as serious and studious. Raaj is highly independent and self-sufficient. His acceptional intelligence and wisdom are quickly noticed, and people respect him. Kumar is not one to attract people on the basis of his warmth or compassion - though he may be loaded with both - but because of his obvious insight into life's mysteries.He is hard to get to know, and is often withdrawn. It is common for people to see Raaj Kumar's focus turn inside of himself in the middle of a conversation. Raaj has the makings of an intellectual and an aristocrat but he has to guard against arrogance and an attitude of ""I have got it all figured out"". There have been periods in Raaj Kumar's life when he had little concern for his clothing or fashion, while at other times he is very aware of his clothing and uses it to make a specific impression. Raaj appears dignified no matter how he dresses, but a well groomed seven with a touch of dash definitely has an advantage. Kumar's confidence increases when he knows he is well dressed.Raaj Kumar is recognized as spiritual and religious, with his very own ideas regarding the purpose of life and the Creator. He is an inspired speaker, but only when discussing subjects that really interest him. Otherwise, Raaj is not one for chatter. His love of knowledge and wisdom shows.Kumar's Personality number often serves as a censoring device, both in terms of what Raaj sends out, as well as what he allows to approach.It discriminates in the kinds of people and information Raaj Kumar lets enter his heart and mind.Read more about our numerological interpretation of Raaj Kumar's personality number . . .eval(ez_write_tag([[300,250],'celebrities_galore_com-medrectangle-4','ezslot_3',154,'0','0']));",NONE
125,Ramya Krishnan,"Sorry, but the page you are trying to view does not exist.Please refine your celebrity-search above or go back home.",NONE
126,Rajinikanth,"Sorry, but the page you are trying to view does not exist.Please refine your celebrity-search above or go back home.",NONE
